Symbol,"Company Name",Sector,"Final Status","Business Reasoning / Justification","Market Cap","Total Assets","Total Debt",Cash,"Interest Income","Total Revenue","Debt Ratio","Cash Ratio","Impure Ratio"
TRANSCOHOT,"TRANSCORP HOTELS PLC",Services,non-halal,"The hotel operates an on-site casino and nightclub marketed as core amenities, engaging in impermissible gambling and alcohol-related activities.",2477667622620.9,0,0,0,0,0,0.0000,0.0000,0.0000
NB,"NIGERIAN BREWERIES PLC.","Consumer Goods",non-halal,"Brewery (Nigerian Breweries) - alcohol production.",2181205095168,0,0,0,0,0,0.0000,0.0000,0.0000
UBA,"U B A PLC","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",1984408271284.3,0,0,0,0,0,0.0000,0.0000,0.0000
SFSREIT,SFSREIT,"Construction/real Estate",doubtful,"Up to a quarter of the fund's portfolio is earmarked for interest-bearing mortgage and debt instruments, creating a financial-ratio concern that requires verification.",8375000000,0,0,0,0,0,0.0000,0.0000,0.0000
MECURE,MECURE,Healthcare,halal,"Pharmaceuticals manufacturing - permissible core activity.",224800000000,0,66166764000,2069984000,0,44845076000,0.1743,0.0193,0.0000
BAPLC,BAPLC,Ict,halal,"Tech/electronics - permissible core activity. Note: This company is currently not trading on the NGX.",62500000,0,0,0,0,0,0.0000,0.0000,0.0000
INTBREW,"INTERNATIONAL BREWERIES PLC.","Consumer Goods",non-halal,"Brewery (International Breweries) - alcohol production.",1851207505466,792651836000,51337856000,171075664000,7741327000,163361102000,0.0277,0.0000,0.0474
VITAFOAM,"VITAFOAM NIG PLC.","Consumer Goods",halal,"Foam/furniture manufacturing - permissible core activity.",242663748416,70156053000,9442116000,14293909000,427741000,91212764000,0.0094,0.0589,0.0047
STANBIC,"STANBIC IBTC  HOLDINGS PLC","Financial Services",non-halal,"Conventional bank (Stanbic IBTC) - interest-based lending/deposits (riba).",2563365202455.2,0,0,0,0,0,0.0000,0.0000,0.0000
ETI,"ECOBANK TRANSNATIONAL INCORPORATED","Financial Services",non-halal,"Conventional bank (Ecobank Transnational) - interest-based lending/deposits (riba).",1711020056207.7,0,0,0,0,0,0.0000,0.0000,0.0000
ACCESSCORP,"Access Holdings PLC","Financial Services",non-halal,"Conventional bank - interest-based lending/deposits (riba).",1436915745769.3,0,0,0,0,0,0.0000,0.0000,0.0000
